repo_url,filepath,commit_date,message
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2021-01-05T20:28:45Z,"[cli] Add --device to asteroid-infer (#375)

Defaults to CUDA if available

Co-authored-by: Manuel Pariente <pariente.mnl@gmail.com>"
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-24T20:51:08Z,"[src] Fix #279 OLA support for separate() and asteroid-infer (#305)

Co-authored-by: Pariente Manuel <pariente.mnl@gmail.com>"
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-10-22T09:03:29Z,[src] BC-breaking: Load models without sample_rate (#285)
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-10-22T08:21:59Z,[src&tests] Automatic resampling in separate + CLI. (#283)
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-10-01T10:11:28Z,[black] Update black to 20.8b1 (#265)
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-08-25T19:14:59Z,[CLI] Refactor `separate` method (future torch.script compat) (#245)
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-08-23T19:49:47Z,[CLI] Add asteroid-infer CLI to enhance/separate from the command line (#236)
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-08-13T07:21:11Z,[black] Flake8 compatibility + Black strings (#198)
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-08-12T13:47:18Z,[black] Change formatting with black using default config and line-length 100 (#197)
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-08-12T13:25:32Z,[docs] Brand new docs ! (#192)
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-06-03T09:31:00Z,[model_cards] Add message to create model card after publishing
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-05-28T21:14:33Z,[src & egs] Publishing pretrained models !! (wham/ConvTasNet) (#125)
